lane,n,deployed,pnl,return_on_deployed_pct,win_pct,avg_peak_x,avg_exit_x,avg_hold_s,med_hold_s,pct_total_loss
live,222,581.21,-94.43,-16.25,45.9,1.192,0.931,197,47,16.7
paper,2025,11273.61,607.04,5.38,59.7,1.651,1.019,196,119,13.1
